Prim's algorithm,20
Kruskal's algorithm,2.73876006116,0
Borůvka's algorithm,2.18860535626,0
Reverse-delete algorithm,2.13138216816,0
Minimum bottleneck spanning tree,1.92224942583,0
Gomory–Hu tree,1.25276117565,0
Closure problem,1.19577067099,0
Dijkstra–Scholten algorithm,1.18174662153,0
Longest path problem,1.10520304204,0
Degeneracy (graph theory),1.05418914822,0
Iterative compression,1.04597501354,0
Dijkstra's algorithm,0.986657094831,1
Euler tour technique,0.956720782471,0
Bellman–Ford algorithm,0.956101993895,0
Tree traversal,0.921715865793,0
Hopcroft–Karp algorithm,0.634654529472,0
Graph isomorphism,0.560871233252,0
Junction tree algorithm,0.544786581726,0
Stoer–Wagner algorithm,0.512324182978,0
Bidirectional search,0.429455521481,0
Edmonds' algorithm,0.354242138237,0
Double-ended queue,20
Queue (abstract data type),2.9999999001,0
Pile (abstract data type),1.44474031039,0
Double-ended priority queue,1.2631296805,0
List (abstract data type),1.26151643013,0
Priority queue,1.22403602096,1
Linked data structure,0.969109782533,0
Kinetic priority queue,0.956486118206,0
Peek (data type operation),0.922355234184,0
Multimap,0.888178775446,0
U-form,0.750821829678,0
Associative array,0.725503159908,0
Collection (abstract data type),0.718905778651,0
Container (abstract data type),0.68923384088,0
Set (abstract data type),0.672838795299,0
Multiset (abstract data type),0.672838795299,0
Abstract data type,0.665430964819,0
Stack (abstract data type),0.65659156218,0
Graph (abstract data type),0.592497307359,0
Iterator,0.177530140556,0
Obstack,0.108086975055,0
Johnson's algorithm,20
Suurballe's algorithm,2.52463981987,0
Floyd–Warshall algorithm,2.234492768,0
Bellman–Ford algorithm,2.06652850711,0
Shortest Path Faster Algorithm,1.63039031652,0
Dijkstra's algorithm,1.62839544969,0
Yen's algorithm,1.43357817377,0
Stoer–Wagner algorithm,1.17210539414,0
K shortest path routing,1.05510939554,0
Longest path problem,0.770417070802,0
Knuth's Simpath algorithm,0.691465996621,0
Widest path problem,0.668632528731,0
Closure problem,0.633867237774,0
Path-based strong component algorithm,0.631972073782,0
Euler tour technique,0.626374683847,0
Topological sorting,0.618859934371,0
Graph bandwidth,0.585036736262,0
Flow network,0.485262932154,0
Dulmage–Mendelsohn decomposition,0.377346281315,0
Bron–Kerbosch algorithm,0.275362310121,0
Reverse-delete algorithm,0.221463389768,0
Iterator,20
Container (abstract data type),2.16429726692,0
Multimap,1.45449936183,0
Associative array,1.31242850008,0
Abstract data type,1.20016938493,0
List (abstract data type),0.94401482024,0
Collection (abstract data type),0.917169961953,0
U-form,0.893363751763,0
Set (abstract data type),0.85121443715,0
Multiset (abstract data type),0.85121443715,0
Double-ended queue,0.637567549534,0
Priority queue,0.634143804843,0
Queue (abstract data type),0.536980545029,0
Stack (abstract data type),0.534210656706,0
Double-ended priority queue,0.510385228875,0
Obstack,0.382499352932,0
Kinetic priority queue,0.336315537721,0
Linked data structure,0.312448112029,0
Pile (abstract data type),0.264176309356,0
Peek (data type operation),0.172200265422,0
Graph (abstract data type),0.164297315138,0
Ford–Fulkerson algorithm,18
Ford–Fulkerson algorithm,2.99999996263,0
Dinic's algorithm,1.2256778414,0
Maximum flow problem,0.95467406324,0
Multi-commodity flow problem,0.886518150626,0
Max-flow min-cut theorem,0.861821670762,0
Circulation problem,0.861655241437,0
Yen's algorithm,0.764198304823,0
Minimum-cost flow problem,0.715923130493,0
Flow network,0.691087268938,0
Approximate max-flow min-cut theorem,0.672780335843,1
Hopcroft–Karp algorithm,0.540437792759,0
Suurballe's algorithm,0.536465156189,0
Out-of-kilter algorithm,0.431688089604,0
Push–relabel maximum flow algorithm,0.378690074674,0
Longest path problem,0.34917168625,0
Widest path problem,0.30567655095,0
Dijkstra's algorithm,0.202782481337,0
K shortest path routing,0.163829707922,0
Merge sort,14
Merge sort,2.99999995543,0
Merge algorithm,0.931494162793,0
External sorting,0.892406319929,0
Sorting algorithm,0.858684408717,0
Insertion sort,0.836266186101,0
Library sort,0.640818240022,0
Integer sorting,0.547887776235,0
Partial sorting,0.511648635722,0
Batcher odd–even mergesort,0.446104206287,0
Quicksort,0.422931596941,0
Bitonic sorter,0.268725998014,0
Sorting network,0.222080685386,0
Tree sort,0.121173447458,0
Pairwise sorting network,0.0530053640358,0
Kruskal's algorithm,22
Reverse-delete algorithm,2.90370361257,1
Prim's algorithm,2.8596489212,1
Minimum bottleneck spanning tree,2.16106737724,0
Borůvka's algorithm,1.96425595503,1
Dynamic connectivity,1.59241950298,0
Euler tour technique,1.51594157543,0
Edmonds' algorithm,1.34183747525,0
Gomory–Hu tree,1.25809915611,0
Bidirectional search,1.04304121242,0
Tree traversal,0.990181714788,0
Stoer–Wagner algorithm,0.875791037132,0
Suurballe's algorithm,0.851359909285,0
Closure problem,0.849471868894,0
Karger's algorithm,0.807212712905,0
Graph embedding,0.755919935602,0
Junction tree algorithm,0.730221073882,0
Graph bandwidth,0.619837790844,0
Hopcroft–Karp algorithm,0.578619452512,0
Single-linkage clustering,0.535087683031,1
Dijkstra's algorithm,0.502839798872,1
Force-directed graph drawing,0.45868457881,0
Transitive reduction,0.426626713068,0
Priority queue,18
Priority queue,2.99999996669,0
Monotone priority queue,1.68458395931,0
Bucket queue,1.3861368984,0
Kinetic priority queue,1.26977984163,0
Double-ended priority queue,0.957430815521,0
Calendar queue in simulation,0.859468324055,0
AF-heap,0.783343696032,0
Pagoda (data structure),0.668816875503,0
Min-max heap,0.606937772766,0
Randomized meldable heap,0.587589084416,0
Queue (abstract data type),0.56354777902,0
Double-ended queue,0.555369891942,0
Skew binomial heap,0.404085601132,0
Leftist tree,0.357106665318,0
List (abstract data type),0.19286653795,0
Van Emde Boas tree,0.16028729116,0
Linked data structure,0.115573221694,0
Stack (abstract data type),0.0693725510606,0
Flajolet-Martin algorithm,21
Flajolet–Martin algorithm,2.99999996834,0
